"quadrat","slope_50","pvalue_50","significant_50","slope_60","pvalue_60","significant_60","slope_95","pvalue_95","significant_95"
"A1",-0.00683513927541094,0.265510388953874,"0",0,0.0257552485384828,"0",NA,NA,NA
"A2",-0.000961906247618928,0.0218957001566608,"1",NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,0,1,"0",NA,NA,NA
"A4",-0.0223733425391358,0.00937476845943488,"1",0.000559743927989476,0.343419487182742,"0",0,0.288844366346485,"0"
"A5",-0.00916340000190571,0.00443400830310066,"1",0,0.00391695433419445,"0",NA,NA,NA
"AR1",-0.000499666663666404,0.161124949289052,"0",0,0.128885073232889,"0",NA,NA,NA
"AR2",-0.00460984285856141,0.0617066900283127,"0",-9.09888889674356e-05,0.00537406070452693,"1",NA,NA,NA
"B1",-0.0142217525048084,0.00443400830310066,"1",0.000200538462708315,0.544486056825911,"0",0.00172893245443576,1,"0"
"B2",-0.0226904350845833,0.00198178943780992,"1",0,0.46785944777637,"0",0.00214069173545719,0.462432726450476,"0"
"B2A",-0.013763660049057,0.0200446686226275,"1",0.00404607432941675,0.344417522979072,"0",0.000284246676333398,1,"0"
"B3",-0.0138081904200039,0.00198178943780992,"1",0.00051437200045228,0.255818049466537,"0",-0.0114221402610309,0.0274863361115103,"1"
"B4",-0.0057387499952645,0.0187411367895967,"1",-0.000653785712371913,0.00082285208216694,"1",NA,NA,NA
"B5",NA,NA,NA,0,0.136641004807483,"0",NA,NA,NA
"G1",0,0.814921091146469,"0",NA,NA,NA,NA,NA,NA
"G2",-0.00321078570990364,0.0210979717247784,"1",NA,NA,NA,NA,NA,NA
"G3",-0.00137977380836758,0.0591720678258594,"0",NA,NA,NA,NA,NA,NA
"G4",-0.00616657499164043,0.028567681801513,"1",NA,NA,NA,NA,NA,NA
"G5",-0.000845043754657761,0.136332995275192,"0",NA,NA,NA,NA,NA,NA
"G6",-0.00562174444877061,0.00857585826331806,"1",NA,NA,NA,NA,NA,NA
"H1",0,0.190430263825524,"0",0,0.116677449158471,"0",NA,NA,NA
"H2",-0.0105465525193183,0.00937476845943488,"1",-0.000378835599510481,0.525992485609421,"0",0,0.288844366346485,"0"
"H3",-0.0136560899872844,0.00937476845943488,"1",0,0.158521269930063,"0",NA,NA,NA
"I2",-0.00284305499905912,0.00122938491894486,"1",NA,NA,NA,NA,NA,NA
"I4",-0.0145572935787752,0.0164886567276701,"1",0.00129627156284416,0.349219342794742,"0",-0.00829358062900738,0.0864107329737,"0"
"I5",-0.0103067361594997,0.0164886567276701,"1",0,0.00097492838837385,"0",NA,NA,NA
"I6",-0.0104544687420575,0.0476039547278715,"1",NA,NA,NA,NA,NA,NA
"I7",-0.0075846058053472,0.117850895021365,"0",-0.000302528749338725,0.735080492681957,"0",0,0.288844366346485,"0"
"J1",-0.011419117497122,0.00937476845943488,"1",NA,NA,NA,NA,NA,NA
"J12",-0.00630070084269882,0.0248218890441964,"1",NA,NA,NA,NA,NA,NA
"J22",0,0.147777716138339,"0",0,0.00117214856440311,"0",-0.00328125778990637,0.462432726450476,"0"
"J8",-0.0079488550018333,0.000580666545949213,"1",0,0.411313791776259,"0",NA,NA,NA
"J9",-0.0104170551323058,0.00122938491894486,"1",NA,NA,NA,NA,NA,NA
"K3",-0.00174257916893905,0.0460633963935743,"1",NA,NA,NA,NA,NA,NA
"L2",-0.0129557200005201,0.00686379498544904,"1",NA,NA,NA,NA,NA,NA
"N1",-0.0117269846813217,0.00487856447503363,"1",0.00310535000653687,0.000135762639778246,"2",-0.00932481751159805,0.220671361919847,"0"
"N3",-0.0170764779801367,0.0187411367895967,"1",NA,NA,NA,NA,NA,NA
"N3A",-0.0224643489559398,0.00249902885761126,"1",NA,NA,NA,NA,NA,NA
"N4",-0.00562290935212031,0.602167527748196,"0",NA,NA,NA,NA,NA,NA
"N5",NA,NA,NA,0,0.128885073232889,"0",NA,NA,NA
"R1",-0.00560192082535607,0.0634865305607675,"0",0,0.00746005965844948,"0",-0.00252625404850828,0.0864107329737,"0"
"R2",-0.0188953966541105,0.000836627131119304,"1",0,0.00351661457112873,"0",NA,NA,NA
"R3",-0.0171313580290404,0.00443400830310066,"1",0,0.00651470301986942,"0",NA,NA,NA
"R4",-0.0100187028951268,0.00487856447503363,"1",0,0.132463566807951,"0",NA,NA,NA
"U1",-0.00782568590940419,0.000107238934474318,"1",NA,NA,NA,NA,NA,NA
"U2",-0.0109364193106728,0.000543046460585846,"1",NA,NA,NA,0.000110623333479082,0.613354355954747,"0"
"U3",-0.0118761954541092,6.02208151439336e-05,"1",0.0029845949928878,0.00372207383824204,"2",-0.00116066507306389,0.0960923294556733,"0"
"U4",-0.0140126000108405,0.000187522756638262,"1",0,0.562833753917326,"0",0.000854784586437747,0.0432627278069107,"2"
"U5",-0.0110040431465746,0.00249902885761126,"1",0,0.123077929133899,"0",0.0119852253407845,0.220671361919847,"0"
"V1",-0.0107536666696149,0.0354981313206625,"1",NA,NA,NA,NA,NA,NA
"V2",-0.0198703499946005,0.0162609367804503,"1",NA,NA,NA,NA,NA,NA
"V3",-0.0038411666651504,0.0190673604423967,"1",NA,NA,NA,NA,NA,NA
"V4",-0.00405065000438366,0.022687071535486,"1",NA,NA,NA,NA,NA,NA
"V5",-0.00467092498552227,0.0190673604423967,"1",NA,NA,NA,NA,NA,NA
